"drawn_number","date_1","date_2","date_3","date_4","date_5","date_6","date_7","date_8","date_9","date_10","date_11","date_12","date_13","date_14","date_15","date_16","date_17","date_18","date_19","date_20","date_21","date_22","date_23","date_24","date_25","date_26","date_27","date_28","date_29","date_30","date_31"
31,22,22,20,21,26,27,20,22,20,12,23,21,24,24,18,25,18,22,18,24,17,23,25,15,33,18,17,14,17,20,12
32,16,21,23,18,19,19,19,20,20,14,22,18,13,23,19,16,18,18,24,16,17,25,20,20,21,22,17,22,7,23,9
33,21,24,21,19,19,14,19,11,19,27,17,14,17,27,16,26,16,21,17,12,21,20,23,19,29,21,18,17,18,9,8
8,19,17,17,26,12,21,24,19,22,20,18,15,20,15,17,17,16,23,16,24,19,28,20,16,15,20,15,23,25,12,12
9,14,23,17,22,10,19,12,19,18,25,29,18,20,25,22,21,24,14,23,26,20,22,22,22,20,18,19,14,23,18,12
10,20,17,19,16,23,19,17,18,24,18,21,25,20,21,16,15,13,17,22,27,27,18,18,22,18,24,12,22,19,18,9
11,14,18,15,18,15,18,21,26,17,12,19,17,17,20,24,20,16,22,17,24,17,17,19,18,22,19,23,17,20,18,15
12,21,19,19,18,25,18,23,21,19,16,21,14,17,26,21,24,13,18,19,15,18,25,15,13,22,21,16,16,17,19,12
34,25,20,24,16,21,25,24,19,24,18,15,19,16,19,22,23,22,15,20,24,27,24,15,21,19,14,28,26,22,20,13
35,19,13,20,18,18,18,18,20,18,16,20,19,16,20,16,23,17,18,19,17,18,23,19,18,22,33,15,14,20,15,15
36,15,20,23,12,21,14,12,19,17,22,20,24,14,27,21,15,19,26,23,18,20,28,23,21,20,16,23,19,22,17,13
37,12,14,18,18,13,25,22,16,23,19,21,25,17,18,18,24,21,21,22,14,22,21,15,19,18,22,15,17,24,17,16
13,18,20,22,19,23,15,20,22,17,22,20,25,11,18,17,16,18,23,23,20,13,20,21,19,16,18,16,14,18,20,9
14,21,21,16,16,16,19,25,8,17,15,18,15,17,19,18,18,18,19,19,24,10,20,15,13,18,18,20,11,21,15,15
38,24,18,22,20,26,25,22,21,16,13,21,29,19,20,22,20,18,16,21,22,27,18,21,18,16,21,19,19,11,16,10
39,22,14,14,15,14,23,17,21,25,16,11,17,17,17,23,22,22,22,22,18,23,16,16,14,22,24,16,27,18,12,15
40,25,25,24,25,22,16,21,22,19,20,20,22,28,24,15,18,21,20,23,16,17,21,21,17,18,22,18,15,17,14,14
41,21,15,20,26,17,21,24,24,21,27,15,25,20,18,27,25,33,22,19,21,18,9,18,25,21,13,14,15,16,13,10
42,23,23,14,23,16,13,27,18,25,31,15,30,10,19,17,23,15,21,20,16,19,18,16,18,25,19,22,15,19,12,11
43,22,31,25,21,20,18,17,19,21,18,25,26,17,14,23,12,22,17,19,23,19,27,24,24,14,23,18,19,16,19,5
44,21,15,20,19,19,16,20,17,24,19,24,25,21,25,15,16,20,22,22,16,14,17,25,18,23,21,20,18,18,11,9
45,24,20,15,21,25,17,19,18,22,21,20,18,26,19,21,23,22,26,25,23,27,16,16,20,24,27,21,20,16,26,8
15,15,16,21,15,18,13,17,16,19,19,18,17,21,17,21,21,25,16,18,17,15,19,21,26,12,13,23,20,13,17,9
16,19,25,21,17,12,19,25,20,22,20,15,23,25,18,17,19,21,18,15,12,19,17,11,16,21,20,21,20,15,18,10
17,19,17,23,20,21,16,8,12,23,24,20,13,17,17,19,22,21,15,22,20,21,21,16,14,22,17,25,25,13,16,12
18,23,17,14,17,20,22,21,26,24,20,18,17,18,17,13,17,22,19,17,20,13,20,14,21,16,17,20,16,16,25,8
19,18,21,18,27,19,21,16,19,24,21,14,13,18,20,15,23,13,18,12,19,17,25,21,25,19,14,26,21,15,22,8
20,21,19,23,22,20,22,18,18,14,16,17,28,16,31,21,20,21,15,17,25,16,15,19,24,17,16,23,23,15,21,9
21,22,18,16,26,25,24,15,20,21,11,30,24,17,20,21,26,23,16,23,20,27,14,20,20,23,15,17,17,17,27,7
22,16,20,21,25,19,22,17,20,19,20,15,19,21,19,21,14,17,23,14,17,18,19,24,19,19,19,19,21,20,17,13
23,22,18,17,23,24,18,19,21,23,30,20,18,21,16,19,19,27,19,20,19,15,17,16,17,24,19,20,20,12,25,14
24,21,14,23,21,16,20,16,25,20,13,23,18,26,16,22,14,26,18,22,12,15,24,26,15,24,18,16,17,14,15,9
25,20,21,15,20,13,16,20,19,21,22,11,18,19,21,25,25,25,24,23,15,20,19,18,22,15,19,11,19,12,18,16
46,17,22,20,22,22,16,17,27,20,13,25,18,22,18,17,16,19,17,16,17,23,21,17,24,24,23,15,25,27,19,4
47,18,19,25,23,18,18,19,13,20,18,24,23,22,25,26,21,14,17,25,21,17,15,22,16,27,22,24,19,16,20,11
48,19,24,10,12,25,24,22,22,19,28,15,14,17,14,17,18,22,26,22,24,14,16,20,21,17,11,15,22,21,23,15
49,24,31,16,19,14,19,19,24,25,27,16,8,18,18,13,24,17,19,24,19,22,22,21,16,17,19,22,18,21,15,11
1,19,18,22,16,24,15,16,14,14,14,16,20,19,17,25,22,9,15,15,15,19,10,19,20,21,20,19,21,20,22,12
2,26,19,17,24,25,18,25,22,11,16,19,15,23,14,16,17,11,24,15,17,22,20,13,18,18,20,17,20,14,16,10
3,18,15,20,17,28,12,17,22,15,21,26,24,24,12,23,29,15,20,10,17,17,21,24,23,14,21,22,25,20,22,17
4,23,22,18,22,21,12,20,19,15,17,16,18,14,14,17,21,24,25,26,24,22,17,26,16,15,17,23,20,11,20,6
5,19,20,17,19,21,19,20,21,17,14,18,15,22,14,25,9,24,23,20,17,17,25,25,29,18,26,14,18,18,13,14
26,10,27,19,22,25,23,16,15,14,24,23,15,16,16,18,16,12,23,12,20,27,16,12,23,16,20,28,24,28,19,7
27,17,23,27,14,20,21,22,21,14,23,29,16,27,14,27,17,22,14,25,15,24,24,19,23,17,18,21,20,18,19,8
6,15,19,14,22,16,23,17,17,15,18,29,18,18,22,13,14,15,19,16,24,15,13,22,13,16,24,19,17,24,14,12
28,13,20,20,15,11,25,21,26,23,17,20,18,15,16,13,17,24,24,24,14,14,14,20,18,22,14,16,28,11,12,12
29,20,14,12,24,19,15,18,18,21,14,17,21,20,23,21,17,13,12,14,17,19,14,26,17,24,18,17,20,28,19,12
30,17,17,19,14,18,23,22,19,25,14,20,27,20,25,18,21,14,19,16,26,19,20,12,14,16,19,18,14,13,24,16
7,22,20,15,14,18,22,19,16,20,23,17,20,25,13,21,18,20,25,23,15,21,18,28,18,16,19,25,21,19,20,12
